code,name,type
ECON90068,Case Studies in Microeconomic Policy,Requisites apply | Subject
FNCE90049,Property Development and Investment,Requisites apply | Subject
EDUC91283,Learning Area Music (SI) A3,Requisites apply | Subject
FNCE90079,Finance and Accounting Analytics,Requisites apply | Subject
JAPN20014,Japanese 6,Requisites apply | Subject
MKTG90011,Marketing Research,Requisites apply | Subject
ASIA70005,MA Research,Requisites apply | Subject
HIST90023,The Writing of Australian History,Requisites apply | Subject
PHYC40013,Physics Research Project Pt2,Requisites apply | Subject
MEDI40014,Biomedicine Research Project Part 1,Requisites apply | Subject
PHTY90102,Chronic Disease and Disability,Subject
EDUC91077,Mathematics: Primary 2,Requisites apply | Subject
MAST90114,Minor Research Project Part 1,Requisites apply | Subject
ABPL90045,Statutory Valuation (PG),Requisites apply | Subject
BUSA90503,Business Analytics Applications,Requisites apply | Subject
MGMT30020,Analytics for Supply Chain & Operations,Requisites apply | Subject
MUSI10226,Chamber Choir 2,Requisites apply | Subject
CRIM30012,Law in Social Theory,Subject
ENEN90031,Quantitative Environmental Modelling,Requisites apply | Subject
LING20005,Phonetics,Subject
MUSI10181,Ensemble Studies 1,Requisites apply | Subject
CLAS20021,Intensive Beginners Latin,Subject
PERF20001,Stand Up and Be Funny,Quotas apply | Subject
EDUC91288,Learning Area Psychology (SI) 3,Requisites apply | Subject
SPAN20022,Spanish 7,Requisites apply | Subject
BUSA90514,Industry Studies in Europe,Requisites apply | Subject
LAWS70182,New Media and Communications,Quotas apply | Subject
ISLM20003,The Qur'an: An Introduction,Subject
MUSI10037,Music in Everyday Life,Subject
CVEN90074,Computational Geotechnical Engineering,Requisites apply | Subject
MUST30014,Music Theatre Studio 5,Requisites apply | Subject
CHEM90048,Lasers in Chemistry,Requisites apply | Subject
MGMT90228,Managing Growth,Requisites apply | Subject
HEBR30017,Hebrew 8,Requisites apply | Subject
MUSI10191,Interactive Composition 1,Subject
AUDI90061,Complex Audiological Cases,Requisites apply | Subject
ZOOL20005,Animal Structure and Function,Requisites apply | Subject
BUSA90132,Industry Studies in Asia,Requisites apply | Subject
SPAN20028,Chile: The Land at the End of the World,Quotas apply | Requisites apply | Overseas | Subject
PROP10001,Economics and Cities,Subject
BISY40002,Studies in Business Information Systems,Requisites apply | Subject
PADM90009,Working Ethically,Requisites apply | Subject
BUSA90093,Finance,Quotas apply | Requisites apply | Subject
FLTV90049,Screen Making 1,Subject
POLS90023,International Governance and Law,Subject
LAWS50101,Refugee Law,Quotas apply | Requisites apply | Subject
LAWS90247,"Sexual Crimes, Sexual Conduct and Law",Quotas apply | Subject
KORE30002,Two Koreas in the World,Subject
MECM90034,Marketing & Media in a Global Context,Requisites apply | Subject
ACCT90022,Research Methods,Subject
MUSI10057,Early Voices 2,Requisites apply | Subject
MEDI90105,Perioperative Complications,Requisites apply | Subject
MECM90025,Advanced Industry Practice - PR,Subject
DRAM90011,Applied Dramaturgy 1,Subject
SPAN10003,Spanish 3,Requisites apply | Subject
OPTO90018,The Eye and Vision: A Window to Disease,Requisites apply | Subject
HEBR30003,Hebrew 5,Requisites apply | Subject
EDUC91206,"Literacies, Languages, and Learners (SI)",Subject
FINA20035,Drawing with Anatomy,Quotas apply | Subject
MAST10005,Calculus 1,Requisites apply | Subject
ELEN90027,Linear Systems Theory,Requisites apply | Subject
CVEN30010,Geotechnical Modelling and Design,Requisites apply | Subject
ABPL90339,International Real Estate Economics,Requisites apply | Subject
ELEN90054,Probability and Random Models,Requisites apply | Subject
ABPL90375,Landscape Architecture Design Thesis,Requisites apply | Subject
PSYT90068,Perinatal Psychiatry,Subject
BIOL90037,BioSciences Research Project Pt 5,Subject
MGMT30004,Managing Globally,Requisites apply | Subject
ITAL30015,Italian 7,Requisites apply | Subject
INDO40001,Honours Indonesian A,Requisites apply | Subject
POLS30032,Campaigns and Elections,Subject
SCIE90028,Biotechnology Research Project Part 1,Requisites apply | Subject
MEDI90138,Peri-Arrest Ultrasound - Practical,Requisites apply | Subject
NURS90137,Medical Oncology Nursing,Subject
PHYC90056,High Energy Astrophysics,Requisites apply | Subject
MAST90030,Advanced Discrete Mathematics,Requisites apply | Subject
CHEN90011,Wastewater and Environmental Remediation,Requisites apply | Subject
SCRN90006,Film Festival Cultures,Requisites apply | Subject
ARTS90033,Arts Research Internship,Requisites apply | Workplace component | Subject
BUSA90513,Industry Studies in America,Requisites apply | Subject
ASIA30004,Corruption in Asia,Subject
MGMT90206,Management & Marketing Special Topics 1,Requisites apply | Subject
EDUC91328,"Arts, Digital Futures and Global Worlds",Requisites apply | Subject
MGMT90047,Operations Management,Requisites apply | Subject
PSYT90004,Psychiatry of Old Age,Subject
LAWS70430,"Poverty, Human Rights and Development",Requisites apply | Subject
CHIN10019,Contemporary Chinese Literature,Requisites apply | Subject
ATOC90013,Atmospheric Modelling,Requisites apply | Subject
MUSI90157,Pedagogue Recital,Requisites apply | Subject
AGRI20045,Wine & Spirits:An Australian Perspective,Quotas apply | Subject
MCEN90008,Fluid Dynamics,Requisites apply | Subject
AMGT90024,Cultural Festivals and Special Events,Subject
CWRI10001,Creative Writing: Poetry and Fiction,Subject
AUDI90060,Evidence-Based Practice,Requisites apply | Subject
MGMT90140,Management Competencies,Subject
GERM40010,German Honours Language,Subject
ERTH90065,Earth Sciences Research Project Pt 6,Subject
ABPL90380,Designing for Heat in the Public Domain,Requisites apply | Subject
MGMT90016,Performance and Reward Management,Subject
ABPL90167,Design Communications Workshop (P/G),Requisites apply | Subject
FOOD90042,Special Studies in Food,Requisites apply | Subject
MUSI90260,Special Ensemble Project 1,Requisites apply | Subject
POPH90145,Survival Analysis & Regression for Rates,Requisites apply | Subject
MUSI90243,Opera Atelier,Subject
FOOD90023,Food Microbiology,Subject
DEVT90061,Global Urban Development,Subject
ACCT90044,Advanced Accounting 1,Requisites apply | Subject
EVSC90037,Industry Project in EnvironmentalSci Pt2,Requisites apply | Subject
CRIM90029,Criminology Thesis Part 2,Requisites apply | Subject
LAWS90142,Public Law in Asia,Quotas apply | Subject
INDG10001,Indigenous Australia,Subject
CHIN90008,Contemporary Chinese Studies Project,Requisites apply | Subject
GEOG90013,Geography Research Project,Subject
EDUC91301,Professional Learning Capstone (Sec Acc),Requisites apply | Subject
LAWS70304,Internat Investment Law and Arbitration,Quotas apply | Subject
EDUC91330,Play as Pedagogy in Digital Spaces,Requisites apply | Subject
MEDI90112,Clinical Ultrasound – Core Concepts,Subject
MULT20010,Internship: Personal and Career Growth,Requisites apply | Subject
POLS30015,International Gender Politics,Subject
CHIN30002,Taiwan & Beyond: Chinese Settler Culture,Subject
BMEN90033,Bioinstrumentation,Requisites apply | Subject
CUMC90032,Technical Examination and Documentation,Requisites apply | Subject
MUSI20124,Symphonic Ensembles 1 (Breadth),Requisites apply | Subject
FREN10003,French 4,Requisites apply | Subject
MEDI90096,Cancer across the Lifespan,Requisites apply | Subject
MUST20013,Music Theatre Studio 3,Requisites apply | Subject
BUSA90491,Game Theory for Business Strategy,Quotas apply | Requisites apply | Subject
NURS90134,Introducing Advanced Practice,Workplace component | Subject
PHYC30016,Electrodynamics,Requisites apply | Subject
EDUC90629,Leading Change for Wellbeing,Requisites apply | Subject
ECON30005,Money and Banking,Requisites apply | Subject
PHTY90114,Physiotherapy Advanced Clinical Practice,Requisites apply | Subject
LAWS70456,Law of Treaties,Quotas apply | Requisites apply | Subject
EDUC90801,Clinical Education Modules,Requisites apply | Subject
INDO10002,Indonesian 4,Requisites apply | Subject
EDUC91090,"Wellbeing, Health and Physical Education",Subject
BTCH30003,Biotechnology in Practice,Subject
ABPL30053,Formative Ideas in Architecture,Requisites apply | Subject
NURS90099,Critical Care Nursing Practice,Requisites apply | Subject
MUSI30166,Big Band 2,Requisites apply | Subject
EDUC90582,Evidence Based Learning and Teaching 2,Requisites apply | Subject
PUBL90020,Advanced Book Publishing,Requisites apply | Subject
LAWS70385,White Collar Crime,Quotas apply | Requisites apply | Subject
LAWS90206,Social Procurement Law and Policy,Quotas apply | Subject
ERTH40008,Earth Sciences Research Project Pt1,Requisites apply | Subject
MUSI30258,Chamber Choir 2,Requisites apply | Subject
CWRI20005,Creative Non Fiction,Subject
DEVT90040,Gender Issues in Development,Subject
MGMT90235,Minor Thesis Part 1,Requisites apply | Subject
EDUC91265,Learning Area Accounting (SI) 3,Requisites apply | Subject
FREN20022,From Page to Stage: French Theatre,Requisites apply | Subject
ELEN90088,System Optimisation & Machine Learning,Subject
ACTL90018,General Insurance Practice,Requisites apply | Subject
MAST90011,Mathematical Biology,Requisites apply | Subject
ARTS90049,Research in Gender,Subject
DEVT90070,Leadership Skills in Action,Subject
POLS20006,Contemporary Political Theory,Subject
EDUC91168,Learning Area Legal Studies 3,Requisites apply | Subject
ABPL90031,Corporate Real Estate Management,Requisites apply | Subject
HIST20088,Indigenous History,Subject
ENEN90033,Solar Energy,Subject
POPH90311,Harnessing Evidence for System Change,Requisites apply | Subject
CRIM90038,New Horizons in Criminology,Quotas apply | Requisites apply | Overseas | Subject
